"","ze","annee","count"
"9",1101,1901,3
"10",5301,1901,1
"11",5312,1901,5
"12",1101,1902,1
"13",1101,1903,1
"14",5310,1903,1
"15",1101,1904,32
"16",5312,1904,3
"17",5313,1904,1
"18",1101,1905,1
"19",5312,1905,1
"20",1101,1906,1
"21",5312,1908,1
"22",1101,1909,2
"23",5310,1909,1
"24",5312,1909,1
"25",1101,1910,3
"26",1101,1912,2
"27",5312,1913,1
"28",1101,1917,1
"29",1101,1918,1
"30",1101,1919,1
"31",5301,1919,2
"32",1101,1920,2
"33",5312,1920,2
"34",5314,1920,1
"35",1101,1921,2
"36",1101,1922,3
"37",5312,1922,1
"38",1101,1923,3
"39",5310,1923,1
"40",5312,1923,1
"41",5313,1923,1
"42",1101,1924,3
"43",5312,1924,1
"44",1101,1925,2
"45",5310,1925,1
"46",1101,1926,1
"47",5314,1926,1
"48",1101,1927,1
"49",5301,1927,1
"50",5312,1927,2
"51",5313,1927,1
"52",1101,1928,4
"53",5312,1928,4
"54",1101,1929,4
"55",1116,1929,1
"56",5301,1929,1
"57",5310,1929,1
"58",5312,1929,3
"59",5313,1929,1
"60",1101,1930,5
"61",5310,1930,1
"62",5312,1930,1
"63",1101,1931,2
"64",1116,1931,1
"65",5312,1931,1
"66",1101,1932,3
"67",5310,1932,1
"68",1101,1933,5
"69",5312,1933,1
"70",1101,1934,5
"71",5312,1934,2
"72",1101,1935,2
"73",5312,1935,1
"74",5314,1935,1
"75",1101,1936,3
"76",1101,1937,1
"77",5301,1937,1
"78",5312,1937,3
"79",1101,1938,1
"80",5312,1938,3
"81",1101,1939,4
"82",5312,1939,1
"83",1101,1940,1
"84",1101,1941,4
"85",5312,1941,3
"86",1101,1942,2
"87",5312,1942,1
"88",5313,1942,1
"89",1101,1943,3
"90",5312,1943,1
"91",1101,1944,4
"92",5312,1944,1
"93",5313,1944,1
"94",1101,1945,4
"95",5310,1945,1
"96",5311,1945,1
"97",5312,1945,4
"98",1101,1946,14
"99",5312,1946,5
"100",5313,1946,1
"101",1101,1947,6
"102",5312,1947,10
"103",1101,1948,13
"104",1116,1948,2
"105",5301,1948,1
"106",5310,1948,1
"107",5312,1948,7
"108",5313,1948,1
"109",1101,1949,23
"110",5310,1949,1
"111",5312,1949,4
"112",5313,1949,1
"113",5314,1949,1
"114",1101,1950,22
"115",1116,1950,1
"116",5310,1950,1
"117",5312,1950,3
"118",5313,1950,1
"119",1101,1951,11
"120",1116,1951,1
"121",5310,1951,2
"122",5312,1951,13
"123",5313,1951,1
"124",5314,1951,3
"125",1101,1952,31
"126",1116,1952,1
"127",5301,1952,2
"128",5312,1952,5
"129",5313,1952,1
"130",5314,1952,1
"131",1101,1953,11
"132",1116,1953,1
"133",5301,1953,1
"134",5312,1953,4
"135",5313,1953,1
"136",5314,1953,1
"137",1101,1954,21
"138",5310,1954,2
"139",5312,1954,6
"140",5313,1954,5
"141",1101,1955,24
"142",5310,1955,1
"143",5312,1955,4
